ID,method,prop_POC,C_N_MAOC,C_N_POC,yield_N,yield_C,Clay,pH,TOC,TOC_mesured,TIC,num_ID,c_poc,c_maoc
170-3-0-15,M1,30.7564792789175,8.65217391304348,16.3980582524272,95.9808617973143,99.2296711324067,29.4,7.4,34.3,34.27,0.0,13,10.540245448885027,23.72975455111498
156-2-0-15,M1,17.1736868108525,9.55474452554745,13.1799100449775,93.0582614817176,109.16778754011,37.8,8.1,27.0,26.27,536.5,12,4.511527525210952,21.758472474789045
154-2-15-30,M1,20.8571764529642,6.92592592592593,15.6666666666667,105.036336378925,103.451458394255,35.7,8.6,11.0,22.88,706.2,11,4.7721219724382085,18.10787802756179
154-1-0-15,M1,30.7704927221878,8.51960784313726,14.8308823529412,99.9439132159615,105.897979281673,33.1,8.2,20.0,16.39,619.0,9,5.04328375716658,11.346716242833422
15-KOE-1-18,M1,14.3792278793105,14.7777777777778,19.8,101.36812098715,104.342244390615,4.4,6.6,15.5,16.39,0.0,8,2.356755449418991,14.033244550581008
13-KOE-1-18,M1,27.2068373388188,14.1770833333333,20.7832618025751,100.947374229285,104.473601183386,68.1,7.4,29.3,32.39,0.0,7,8.81229461404341,23.57770538595659
M22/02 88,M1,36.5296711046423,12.2696757634698,13.1489199946335,96.0637407323956,96.0822272736193,6.3,6.6,57.4,59.1,0.0,57,21.5890356228436,37.510964377156405
M22/02 82,M1,29.1661628428157,11.9185108069646,13.7959549290463,103.012125817816,100.668993814123,5.5,6.6,63.6,63.5,0.0,56,18.52051340518797,44.97948659481202
M22/03 12,M1,36.6114032003277,10.983844927974,12.0201934085207,95.1435915678525,93.6581512102154,14.7,6.5,76.1,79.5,0.0,58,29.106065544260524,50.39393445573948
M20/18 03,M1,46.5139646149784,12.4140337950194,14.3096108186229,96.7758808859619,96.7008263313444,8.5,5.3,87.4,94.0,0.0,55,43.72312673807969,50.27687326192031
M20/04 77,M1,21.7740806457267,8.5379347290997,11.0548061047799,92.1316127026427,91.6031905616321,30.0,6.1,50.2,51.5,0.0,54,11.21365153254925,40.28634846745075
P114,M1,22.5087277709414,10.6655535743232,20.3097883358926,97.3088456840391,104.454681209512,43.2,7.0,3.5,3.56,0.0,60,0.8013107086455139,2.758689291354486
P014,M1,14.5806771441438,10.9833453121515,16.5585464333782,98.35471605689,97.1431102066029,17.0,6.7,1.9,2.105,0.0,59,0.306923253884227,1.798076746115773
SP 05,M2,30.0212934134925,11.9845,23.1533,91.064932625143,103.213450646644,34.47,6.46,62.38,43.48,0.09,65,13.053258376186538,30.42674162381346
PS 04,M2,48.7128428457835,20.833,36.1708,100.411294431164,89.201877793917,8.6,5.27,20.78,28.02,0.0,61,13.649338565388536,14.370661434611463
EPC 39a,M2,28.2580898874767,10.0405,16.8071,97.1845925619843,96.4132094416323,38.69,5.99,31.72,45.6,0.0,51,12.885688988689376,32.71431101131063
CL-14-2015,M2,23.640614057355,9.0514,28.0453,94.7393404053329,98.6866502574754,33.0,6.8,13.01,13.01,0.0,44,3.075643888861885,9.934356111138115
CL-14-2002,M2,24.9349685478454,9.6535,28.2623,96.8035621929144,100.63866026587,33.0,6.8,13.3,13.3,0.0,43,3.3163508168634386,9.983649183136562
CL-10-2015,M2,24.101286710912,9.1546,25.8431,105.079833569042,94.3722148165485,33.0,6.8,14.14,14.14,0.0,42,3.407921940922957,10.732078059077043
CL-10-2002,M2,31.0393679120165,8.9649,28.7568,95.1612588038921,108.747869100423,33.0,6.8,12.05,12.05,0.0,41,3.740243833397988,8.309756166602012
CL-05-2002,M2,29.6418558235131,8.9524,28.8389,93.1937013618677,94.939735496618,33.0,6.8,14.14,14.14,0.0,39,4.191358413444753,9.948641586555249
CHS 57b,M2,64.0934802711237,19.0772,22.4735,116.655534478613,112.553718062509,5.31,4.54,34.16,30.61,0.0,38,19.619014310990963,10.990985689009037
CHS 57A,M2,43.8486721412469,10.4339,15.1798,92.8794771946561,91.5490123610654,15.41,4.57,23.07,25.66,0.0,37,11.251569271443955,14.408430728556045
CHS 35,M2,31.0153599766211,20.028,25.315,102.470455538691,99.2045358860729,17.56,4.37,39.87,47.11,0.0,36,14.611336084986199,32.4986639150138
CHP 18,M2,25.2223904792954,13.8813,24.3659,97.5599949368219,90.2339340259615,46.86,5.11,35.45,32.78,0.0,35,8.267899599113031,24.51210040088697
CHP 10,M2,27.3515128293254,11.993,20.4237,103.939928541842,97.2582531680513,61.51,4.7,42.97,44.92,0.0,34,12.286299562932971,32.633700437067034
WF MI,M2,24.9545728582124,14.8802,27.195,95.4723463570911,101.241912336619,43.2,7.3,32.8,50.18,19.6,68,12.522204660250983,37.657795339749015
